COD_DANE,NOMBRE_MUNI,POB_TOTAL,POB_15_19,POB_15_24,PCT_MUJERES_15_24,PCT_RURAL,N_MATRIC_VIVE,PCT_MUJERES_MATRIC,N_MATRIC_NACE,N_BENEF,PCT_VICTIMAS_BENEF,PROM_GLOBAL_SABER,PROM_MATEMATICAS_SABER,PROM_LECTURA_SABER,N_EVALUADOS,EVALUADOS_POR_PERIODO,BRECHA_OFICIAL_SABER,BRECHA_GENERO_SABER,NOM_MPIO,longitud,latitud,TASA_MATRIC_VIVE,TASA_MATRIC_NACE,TASA_BENEF,BRECHA_GENERO_MATRIC
05001,MEDELLIN,2347656,184184,410957,49.80058740938833,1.676395519616162,179,54.7486033519553,714,0,,250.20656205917695,50.25050068790164,53.5819125407081,114842,16406.0,1.8460978497571432,-9.000536163985004,MEDELLIN,-75.581775,6.246631,0.4355686848015729,1.7374080499906317,0.0,4.948015942566975
05002,ABEJORRAL,17599,1606,2838,45.41930937279774,60.46934484913915,28,67.85714285714286,35,118,24.576271186440678,244.70080862533692,50.075471698113205,51.690026954177895,742,371.0,,-4.78665496049166,ABEJORRAL,-75.428739,5.789315,9.866102889358704,12.332628611698379,73.47447073474471,22.43783348434512
05004,ABRIAQUI,2159,212,388,41.23711340206185,67.20704029643353,0,,0,25,0.0,235.38636363636363,48.20454545454545,49.56818181818182,88,44.0,,9.257080610021774,ABRIAQUI,-76.064304,6.632282,0.0,0.0,117.9245283018868,
05021,ALEJANDRIA,3839,322,585,46.324786324786324,42.30268299036207,2,50.0,2,33,75.75757575757575,229.2469135802469,45.839506172839506,48.77777777777778,162,81.0,,0.413919413919416,ALEJANDRIA,-75.141346,6.376061,3.4188034188034186,3.4188034188034186,102.48447204968944,3.6752136752136764
05030,AMAGA,26821,2290,4611,48.10236391238343,51.41120763580776,2,100.0,3,122,6.557377049180328,231.30993150684932,46.53595890410959,50.06678082191781,1168,584.0,-32.09900794954339,-7.195158776543934,AMAGA,-75.702188,6.038708,0.4337453914552158,0.6506180871828238,53.275109170305676,51.89763608761657
05031,AMALFI,20265,2110,3831,48.91673192377969,42.33900814211695,68,70.58823529411765,51,357,15.966386554621847,230.67118644067796,48.03050847457627,49.637288135593224,1180,590.0,,-11.171848891693259,AMALFI,-75.077501,6.909655,17.749934742886975,13.31245105716523,169.19431279620852,21.67150337033796
05034,ANDES,38144,3457,6778,45.07229271171437,49.70899748322148,348,60.91954022988506,278,111,7.207207207207207,244.51227154046998,50.04751958224543,51.90443864229765,1915,638.3333333333334,-22.706674026221833,-10.727340187268965,ANDES,-75.878828,5.657194,51.342578931838304,41.015048686928296,32.10876482499277,15.84724751817069
05036,ANGELOPOLIS,5027,465,861,49.94192799070848,60.69226178635368,0,,2,43,11.627906976744185,211.46923076923076,43.16923076923077,46.40769230769231,260,130.0,,1.5229512136505718,ANGELOPOLIS,-75.711389,6.109719,0.0,2.3228803716608595,92.47311827956989,
05038,ANGOSTURA,10500,1098,1989,47.259929612870785,77.43809523809524,16,50.0,14,58,1.7241379310344827,207.08680555555554,41.34722222222222,44.59722222222222,576,288.0,,-0.44289395633782647,ANGOSTURA,-75.335116,6.885175,8.044243338360985,7.038712921065862,52.82331511839708,2.740070387129215
05040,ANORI,14502,1485,2821,48.45799361928394,51.420493725003446,7,71.42857142857143,10,354,29.66101694915254,195.55882352941177,38.22755417956656,42.023219814241486,1292,646.0,,-5.35885167464113,ANORI,-75.148355,7.074703,2.4813895781637716,3.544842254519674,238.3838383838384,22.97057780928749
05042,SANTA FE DE ANTIOQUIA,23216,2053,4056,48.865877712031555,33.11509303928325,145,60.0,122,67,19.402985074626866,229.86529318541997,46.26782884310618,49.5229793977813,1262,631.0,61.121233411397355,-10.875597343759694,SANTA FE DE ANTIOQUIA,-75.826648,6.556484,35.74950690335306,30.07889546351085,32.63516804676084,11.134122287968445
05044,ANZA,6388,681,1197,47.45196324143692,81.5278647463995,3,66.66666666666666,2,80,7.5,223.2791519434629,45.41342756183746,47.7773851590106,283,94.33333333333333,,-4.638554216867476,ANZA,-75.854442,6.302641,2.506265664160401,1.670843776106934,117.47430249632893,19.214703425229736
05045,APARTADO,113469,11481,22381,50.06925517179751,19.087151556812874,932,58.47639484978541,1066,0,,232.41408690712865,46.758733314399315,50.35416074978699,7042,1408.4,47.08847252407668,-12.156143923852738,APARTADO,-76.625279,7.882968,41.64246459050087,47.62968589428533,0.0,8.4071396779879
05051,ARBOLETES,26289,2816,4684,47.7796754910333,63.39533645250866,30,60.0,24,169,39.053254437869825,213.6445846477392,43.33648790746582,45.99894847528917,1902,951.0,,-8.55453748705284,ARBOLETES,-76.426708,8.849317,6.4047822374039285,5.123825789923143,60.01420454545455,12.220324508966698
05055,ARGELIA,6752,707,1199,46.121768140116764,55.687203791469194,15,60.0,18,96,78.125,219.03378378378378,43.99324324324324,47.5,296,148.0,,4.287394957983167,ARGELIA,-75.14107,5.731474,12.510425354462052,15.012510425354462,135.78500707213578,13.878231859883236
05059,ARMENIA,3819,301,512,47.4609375,64.41476826394344,0,,0,0,,251.65822784810126,51.25316455696203,53.79746835443038,158,79.0,,-16.300514800514804,ARMENIA,-75.786647,6.155667,0.0,0.0,0.0,
05079,BARBOSA,44757,3742,7566,48.784033835580225,51.78631275554662,1,0.0,1,19,0.0,235.33273381294964,47.52428057553957,50.90107913669065,2224,1112.0,9.462609519299065,-4.24525163998257,BARBOSA,-75.331627,6.439195,0.13217023526301877,0.13217023526301877,5.077498663816141,-48.784033835580225
05086,BELMIRA,5349,587,1082,47.781885397412196,70.05047672462142,0,,1,123,6.504065040650407,222.57068062827224,45.890052356020945,47.43979057591623,382,191.0,,9.65129107981221,BELMIRA,-75.667779,6.606319,0.0,0.9242144177449169,209.54003407155025,
05088,BELLO,481901,39033,86526,50.01502438573377,4.308561302010164,37,64.86486486486487,40,0,,247.39165891060586,49.557594291539246,53.30456942782431,22563,4512.6,8.355707087352187,-11.726353463505887,BELLO,-75.555245,6.333587,0.4276171324226244,0.4622887918082426,0.0,14.849840479131103
05091,BETANIA,8589,869,1553,48.42240824211204,60.4144836418675,27,66.66666666666666,18,58,10.344827586206897,227.97972972972974,46.57432432432432,49.33108108108108,296,148.0,,5.655279503105589,BETANIA,-75.97679,5.74615,17.385705086928525,11.59047005795235,66.74338319907939,18.244258424554616
05093,BETULIA,15097,1586,2807,47.98717491984325,72.2395177849904,4,75.0,7,59,42.3728813559322,210.02540415704388,42.277136258660505,45.92609699769053,866,433.0,,-4.5779316837009105,BETULIA,-75.984452,6.115208,1.4250089063056643,2.493765586034913,37.20050441361917,27.01282508015675
