COD_DANE,NOMBRE_MUNI,TIPOLOGIA,CLUSTER,INDICE_BRECHA,POB_15_19,PCT_RURAL,TASA_MATRIC_VIVE,TASA_BENEF,PROM_GLOBAL_SABER,BRECHA_GENERO_MATRIC
05093,BETULIA,C2 · alta % rural y baja Saber 11 global,1,86.1,1586,72.2395177849904,1.4250089063056643,37.20050441361917,210.02540415704388,27.01282508015675
05475,MURINDO,C2 · alta % rural y baja Saber 11 global,1,85.2,513,66.28608358466178,1.1160714285714286,146.19883040935673,187.22222222222223,-47.544642857142854
05361,ITUANGO,C2 · alta % rural y baja Saber 11 global,1,84.4,2168,72.04423141607803,0.23223409196470043,105.16605166051662,206.08286252354048,59.335810496980955
05038,ANGOSTURA,C2 · alta % rural y baja Saber 11 global,1,84.3,1098,77.43809523809524,8.044243338360985,52.82331511839708,207.08680555555554,2.740070387129215
05125,CAICEDO,C2 · alta % rural y baja Saber 11 global,1,83.8,707,78.48389854659446,0.0,104.66760961810468,215.8403361344538,
05842,URAMITA,C2 · alta % rural y baja Saber 11 global,1,81.3,637,69.61520772650621,0.0,78.49293563579278,220.96969696969697,
05467,MONTEBELLO,C2 · alta % rural y baja Saber 11 global,1,81.1,490,71.96055092671314,2.3584905660377355,42.857142857142854,226.74193548387098,53.5377358490566
05044,ANZA,C2 · alta % rural y baja Saber 11 global,1,81.0,681,81.5278647463995,2.506265664160401,117.47430249632893,223.2791519434629,19.214703425229736
05036,ANGELOPOLIS,C2 · alta % rural y baja Saber 11 global,1,80.6,465,60.69226178635368,0.0,92.47311827956989,211.46923076923076,
05490,NECOCLI,C2 · alta % rural y baja Saber 11 global,1,80.3,4324,74.1124414367517,15.954570037858302,47.40980573543016,205.01443569553805,5.503891246757291
05895,ZARAGOZA,C2 · alta % rural y baja Saber 11 global,1,80.2,2520,53.899530477417215,6.022752621012715,57.14285714285714,200.98447606727038,1.2830363265339813
05501,OLAYA,C2 · alta % rural y baja Saber 11 global,1,80.1,234,93.19602795145275,14.251781472684087,0.0,238.71212121212122,36.77751385589866
05234,DABEIBA,C2 · alta % rural y baja Saber 11 global,1,80.0,2318,60.923537438922395,4.507710557532621,64.71095772217429,210.88201160541587,23.69607292251981
