modelo,cv_roc_auc,cv_roc_auc_std,cv_pr_auc,cv_pr_auc_std,cv_f1,heldout_roc_auc,heldout_pr_auc,heldout_f1
Regresión logística,0.8735566007410073,0.0184095957227627,0.3212849177131074,0.05632950604617407,0.2919125874159283,0.8704462909971384,0.31411967941967317,0.2848101265822785
Random Forest,0.8590452408529508,0.011609918023402162,0.269140225490741,0.057669226299508006,0.3122860028645235,,,
LightGBM,0.8486055785424063,0.02219520520613229,0.2774244328035317,0.08022802580856171,0.2577763591828817,,,
