SEDE,FACULTAD,NOMBRE_MUNI_VIVE,PROGRAMA,PROB_RIESGO,DECIL_RIESGO
CAUCASIA,FACULTAD DE CIENCIAS AGRARIAS,LA APARTADA,INGENIERIA AGROPECUARIA - CAUCASIA,0.9852,10
CAREPA,FACULTAD DE INGENIERIA,TURBO,INGENIERIA BIOQUIMICA-URABA,0.9852,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA INDUSTRIAL REGION,0.985,10
TURBO,FACULTAD DE INGENIERIA,NECOCLI,INGENIERIA OCEANOGRAFICA - TURBO,0.9849,10
CAREPA,FACULTAD DE CIENCIAS AGRARIAS,APARTADO,INGENIERIA AGROPECUARIA-CAREPA,0.9849,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE SISTEMAS - REGION,0.9849,10
TURBO,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,APARTADO,ECOLOGIA DE ZONAS COSTERAS - TURBO,0.9848,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA INDUSTRIAL REGION,0.9847,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AGROINDUSTRIAL-URABA,0.9844,10
MEDELLIN,FACULTAD DE INGENIERIA,NECOCLI,INGENIERIA DE SISTEMAS - REGION,0.984,10
CAUCASIA,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,CAUCASIA,MATEMATICAS - CAUCASIA,0.984,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA SANITARIA-APARTADO,0.9827,10
CAREPA,FACULTAD DE CIENCIAS AGRARIAS,CAREPA,INGENIERIA AGROPECUARIA-CAREPA,0.9821,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE SISTEMAS - REGION,0.9821,10
ANDES,FACULTAD DE CIENCIAS AGRARIAS,ANDES,INGENIERIA AGROPECUARIA - ANDES,0.9818,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA SANITARIA-APARTADO,0.9814,10
CAUCASIA,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,TARAZA,MATEMATICAS - CAUCASIA,0.9812,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.9811,10
